"특성별(1)",특성별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타,재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타,재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서,기타,재료를 사서 조리하는 것보다 비용이 적게 들어서,간편식이 맛있어서,직접 조리할 줄 몰라서,직접 조리할 시간이 없어서,조리하기 번거롭고 귀찮아서,간편식으로 다양한 음식을 맛 볼 수 있어서,직접 조리보다 음식물 쓰레기 등 낭비를 줄일 수 있어서,보관성/ 휴대성이 좋아서,균형 잡힌 영양소를 섭취할 수 있어서
"가구원수별",4인,18.5,15.1,6.4,17.6,20.7,13.3,3.4,4.8,0.2,0,17.3,15.7,4,17.6,19.8,11.9,6.8,6.4,0.4,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구원수별",4인 이상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.5,14.2,9.9,12.7,22.3,11.2,7.7,4.1,0.5,0,19.1,12.6,9.7,13.6,22.9,11.7,6.2,4,0.1
"가구원수별",5인 이상,16.7,18.6,3.3,21.6,27.8,3.9,1.3,6.6,0,0.2,17.7,10.6,0,19.9,31.5,12.5,5.3,2.5,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구주성별",남성,15.9,15.3,6.9,17,21.3,13.6,4.5,4.8,0.8,0,16.8,16.4,6.3,15.3,20.5,11.6,6.8,5.7,0.5,0,19,13.2,9.3,12.6,24.9,9.5,7.2,3.4,0.7,0,15.1,13.8,10.2,13.9,24.1,11.7,4.9,6.1,0.3
"가구주성별",여성,19.8,13.7,8.4,16,22.5,9.1,5.3,4.5,0.7,0,19.4,16.4,5.9,15.7,20.1,8.9,8.1,4.8,0.7,0,21.2,11.7,9.3,12.8,28,8.2,5.2,2.6,1,0,26.2,13.4,7.5,11,22.4,8.8,5.2,4.6,0.9
"가구주연령별",20대,17.2,14.5,10.6,16.5,24.9,7.3,4.5,4,0.4,0,22.7,16.6,9.7,14.2,18.3,8.3,6.9,2.3,1,0,19.2,7.2,13.2,13.4,32.1,6.5,5.8,1.2,1.4,0,17.8,15.1,16.8,14.3,20.8,10.8,2.7,1.4,0.4
"가구주연령별",30대,15.3,14.2,7.7,17.9,21.7,13.8,4.2,4.1,1.2,0,15.7,16,7.3,17,20.9,10.5,6.6,5.4,0.7,0,20.7,13.7,10.7,13.4,25.2,8.5,5.1,2.5,0.2,0,21.5,11,10,16.2,24.8,9.2,2.9,4.4,0.1
"가구주연령별",40대,17.3,16.3,6.7,15.9,22,12.9,4.6,3.8,0.3,0.1,17.2,17.7,5,15,18.9,11.6,8.6,5.4,0.6,0.1,17.8,14,8.8,14.9,22.3,10.9,7.4,3,0.9,0,19.3,14.7,9.3,12.7,22,11.2,6,4.3,0.6
"가구주연령별",50대,19.9,14,6.5,16.3,18.5,12.4,5.6,6,0.8,0,17.2,15.6,4.2,15.2,22.9,11.7,6.2,6.7,0.2,0.1,19.6,12.1,10.8,12,24.5,9.2,7.1,4.1,0.6,0,15.8,13.3,10.2,13.6,23.1,12.1,6.4,5,0.4
"가구주연령별",60대 이상,17.4,14.5,4.1,14.8,22,11.7,5.6,9.1,0.8,0.1,19.2,15.1,4.3,12.3,19.9,11.3,9,8.5,0.3,0,20.9,13.3,6.2,10.7,28.9,8.7,6.6,3.6,1.1,0,18.8,14.8,6.7,9.9,24.7,10.3,5,8.9,0.8
