"행정구역별(시군구)","성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"부산광역시","여자",220829,200733,76900,86452,4476,29515,3390,20096,231431,208367,75119,94006,4742,31118,3382,23064,248896,220960,75798,102843,5068,33824,3427,27936,265322,232287,75438,111983,5313,36306,3247,33035,278708,241660,74648,120152,5505,38104,3251,37048
"대구광역시","계",269903,256036,141985,96663,2175,10834,4379,13867,284416,269694,148838,102762,2252,11225,4617,14722,304543,287474,154841,113508,2290,12191,4644,17069,326866,308402,163245,124949,2448,12931,4829,18464,341667,321741,165385,135342,2509,13615,4890,19926
"대구광역시","남자",124823,116290,71229,37548,834,4274,2405,8533,131500,122704,75587,39340,891,4358,2528,8796,140952,130932,79022,43743,911,4722,2534,10020,152723,141903,84533,48654,973,5065,2678,10820,159344,147933,85820,53172,996,5273,2672,11411
"대구광역시","여자",145080,139746,70756,59115,1341,6560,1974,5334,152916,146990,73251,63422,1361,6867,2089,5926,163591,156542,75819,69765,1379,7469,2110,7049,174143,166499,78712,76295,1475,7866,2151,7644,182323,173808,79565,82170,1513,8342,2218,8515
"인천광역시","계",275898,240392,78919,92310,5182,59576,4405,35506,297865,255948,80163,102530,5463,62835,4957,41917,324841,273787,82477,111710,6230,68502,4868,51054,355657,297192,85133,124827,7312,74708,5212,58465,376392,313953,85055,137066,8031,78556,5245,62439
"인천광역시","남자",143845,121646,46362,40764,2575,29249,2696,22199,155137,129511,47642,45338,2718,30741,3072,25626,168675,138190,49144,49307,3155,33681,2903,30485,185694,150936,51345,55491,3771,37123,3206,34758,195777,159301,51794,61141,4096,39093,3177,36476
"인천광역시","여자",132053,118746,32557,51546,2607,30327,1709,13307,142728,126437,32521,57192,2745,32094,1885,16291,156166,135597,33333,62403,3075,34821,1965,20569,169963,146256,33788,69336,3541,37585,2006,23707,180615,154652,33261,75925,3935,39463,2068,25963
"광주광역시","계",174614,164409,77421,78666,2261,3474,2587,10205,182364,171536,77755,85305,2439,3460,2577,10828,193948,182484,80427,92954,2774,3690,2639,11464,212385,198675,84422,103926,3298,4237,2792,13710,221464,205536,84493,110689,3443,4224,2687,15928
"광주광역시","남자",87655,81279,42958,33840,1083,1927,1471,6376,91221,84485,43417,36482,1164,1974,1448,6736,96817,89843,44940,39962,1327,2103,1511,6974,106566,98261,47584,45037,1600,2408,1632,8305,110517,101125,47991,47538,1616,2391,1589,9392
"광주광역시","여자",86959,83130,34463,44826,1178,1547,1116,3829,91143,87051,34338,48823,1275,1486,1129,4092,97131,92641,35487,52992,1447,1587,1128,4490,105819,100414,36838,58889,1698,1829,1160,5405,110947,104411,36502,63151,1827,1833,1098,6536
