"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,샐러드,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의채소,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일,신선편의과일
"특성별(1)",특성별(2),구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화
"특성별(1)",특성별(2),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점)
"행정구역",동,29.9,70.1,5.8,19.8,50.7,22.3,1.5,2.94,21.2,78.8,9.6,22.2,50.1,17.3,0.8,2.77,39.4,60.6,12.8,22.4,51.6,12.5,0.6,2.66,29.8,70.2,7.9,17.5,51.5,20.3,2.8,2.93,25.1,74.9,10.3,21.8,52.7,14.4,0.7,2.73,36.5,63.5,12.7,22.5,52.9,11.0,0.9,2.65
"행정구역",읍면,26.7,73.3,3.1,13.2,53.6,28.2,1.9,3.13,16.2,83.8,5.0,16.0,57.1,21.7,0.2,2.96,32.7,67.3,3.1,15.7,67.9,13.0,0.3,2.92,31.0,69.0,6.2,19.3,58.4,15.6,0.4,2.85,24.8,75.2,6.2,13.2,62.3,16.7,1.7,2.94,36.6,63.4,10.7,17.6,63.0,7.7,1.0,2.71
"가구원수",1인,31.1,68.9,5.8,18.7,53.1,19.7,2.7,2.95,21.5,78.5,10.3,23.1,49.5,15.5,1.6,2.75,37.0,63.0,9.8,24.2,51.2,13.9,0.8,2.72,29.7,70.3,7.3,11.9,52.7,22.2,5.9,3.08,24.6,75.4,11.2,12.7,60.0,16.0,0.2,2.81,36.4,63.6,17.4,15.4,55.8,10.1,1.2,2.62
"가구원수",2인,36.5,63.5,5.5,19.0,52.4,21.8,1.4,2.95,24.7,75.3,6.8,20.9,54.9,17.3,0.1,2.83,45.6,54.4,10.4,20.1,58.5,10.2,0.8,2.71,36.6,63.4,5.9,17.1,54.0,20.8,2.2,2.96,28.9,71.1,9.4,19.7,54.4,15.0,1.6,2.80,42.0,58.0,8.8,21.2,56.7,12.1,1.3,2.76
"가구원수",3인,28.8,71.2,7.3,20.4,48.4,21.8,2.1,2.91,18.2,81.8,12.1,18.5,50.4,18.8,0.2,2.77,39.3,60.7,12.1,20.6,53.1,14.2,0.0,2.69,26.2,73.8,10.3,20.6,52.4,15.5,1.3,2.77,22.8,77.2,9.8,25.5,49.9,14.3,0.5,2.70,31.0,69.0,11.3,25.8,53.4,8.6,0.8,2.62
"가구원수",4인 이상,19.7,80.3,3.0,17.0,50.7,29.1,0.2,3.06,16.0,84.0,6.7,22.1,49.9,20.5,0.8,2.87,30.0,70.0,12.5,20.0,54.6,12.2,0.6,2.68,24.7,75.3,7.5,21.1,50.8,19.8,0.8,2.85,22.3,77.7,8.6,23.8,53.0,13.8,0.9,2.75,34.5,65.5,13.4,24.2,51.5,10.7,0.2,2.60
"가구주성별",남성,27.8,72.2,5.4,18.0,51.4,23.9,1.3,2.98,19.3,80.7,8.4,19.1,52.7,19.4,0.4,2.84,36.0,64.0,12.5,19.3,56.1,11.7,0.5,2.68,33.8,66.2,8.3,18.6,51.2,20.2,1.7,2.88,26.8,73.2,9.3,21.6,52.3,15.9,1.0,2.78,39.8,60.2,12.6,21.8,53.0,11.4,1.1,2.67
"가구주성별",여성,33.0,67.0,5.2,20.4,50.7,21.6,2.1,2.95,22.7,77.3,9.9,26.0,48.0,14.8,1.4,2.72,43.4,56.6,7.9,26.2,50.2,14.9,0.8,2.74,21.7,78.3,6.5,16.3,54.9,18.5,3.8,2.97,21.2,78.8,10.5,18.3,58.0,12.6,0.7,2.75,29.5,70.5,12.0,21.7,57.1,8.6,0.5,2.64
"가구주연령",20대,15.1,84.9,2.7,9.6,51.4,32.2,4.1,3.26,14.7,85.3,3.9,20.9,53.9,18.9,2.4,2.95,20.0,80.0,6.3,20.3,56.3,17.1,0.0,2.84,16.6,83.4,2.6,8.0,51.2,26.6,11.7,3.37,12.0,88.0,16.5,14.2,52.4,16.9,0.0,2.70,24.6,75.4,13.6,19.7,50.6,13.1,3.1,2.72
"가구주연령",30대,17.2,82.8,5.3,22.7,44.5,26.0,1.5,2.96,13.3,86.7,8.6,21.8,49.5,20.0,0.1,2.81,24.2,75.8,9.2,22.2,54.1,13.7,0.8,2.75,15.7,84.3,6.6,14.5,57.2,19.1,2.6,2.97,17.5,82.5,7.4,22.0,55.3,14.0,1.4,2.80,26.5,73.5,13.2,19.3,56.2,11.4,0.0,2.66
"가구주연령",40대,20.8,79.2,5.5,20.5,50.7,21.1,2.1,2.94,14.4,85.6,10.2,24.0,47.9,16.8,1.0,2.74,31.2,68.8,8.2,21.2,55.0,14.7,0.9,2.79,21.3,78.7,6.4,23.6,51.4,17.4,1.2,2.83,22.7,77.3,8.7,24.7,56.0,10.6,0.0,2.69,33.3,66.7,11.9,24.0,53.0,10.1,1.0,2.64
