"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 식사류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류,즉석섭취 반찬류
"특성별(1)",특성별(2),구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 경험 (%),구입 경험 (%),구입 변화,구입 변화,구입 변화,구입 변화,구입 변화,구입 변화
"특성별(1)",특성별(2),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점),구입 없음,구입 있음,매우 감소 (%),약간 감소 (%),비슷 (%),약간 증가 (%),매우 증가 (%),평균 (점)
"가구주성별",남성,10.2,89.8,4.1,18.5,51.1,24.5,1.8,3.02,14.4,85.6,4.6,18.0,51.1,25.3,1.0,3.00,21.4,78.6,8.6,16.9,56.1,17.1,1.3,2.85,38.5,61.5,7.3,25.0,54.3,12.0,1.3,2.75
"가구주성별",여성,9.5,90.5,4.3,18.8,53.3,20.9,2.6,2.99,17.4,82.6,3.7,19.5,53.7,22.3,0.8,2.97,18.4,81.6,5.9,17.9,49.6,24.7,1.9,2.99,33.9,66.1,10.2,24.6,55.1,8.9,1.2,2.66
"가구주연령",20대,3.5,96.5,2.9,17.8,49.1,22.0,8.3,3.15,11.7,88.3,4.9,10.6,54.0,28.5,2.0,3.12,3.9,96.1,9.0,9.7,45.3,24.1,11.9,3.20,22.4,77.6,3.5,8.1,69.1,19.3,0.0,3.04
"가구주연령",30대,2.9,97.1,1.6,15.1,52.2,28.5,2.6,3.15,8.9,91.1,2.7,20.3,49.0,27.1,0.9,3.03,10.7,89.3,5.8,16.5,54.3,22.4,1.0,2.96,30.2,69.8,4.6,27.9,49.1,16.1,2.3,2.84
"가구주연령",40대,5.7,94.3,2.6,16.0,53.8,26.4,1.1,3.07,9.3,90.7,4.0,19.8,50.9,24.6,0.7,2.98,11.3,88.7,9.8,18.1,52.5,18.8,0.9,2.83,30.8,69.2,8.5,27.1,55.0,8.2,1.3,2.67
"가구주연령",50대,9.0,91.0,4.4,20.8,46.0,26.5,2.3,3.01,14.4,85.6,4.3,16.4,52.2,25.8,1.2,3.03,20.3,79.7,6.7,17.4,57.2,17.4,1.3,2.89,35.8,64.2,11.1,24.4,57.1,6.9,0.5,2.61
"가구주연령",60대 이상,20.9,79.1,7.7,21.8,56.9,13.6,0.0,2.76,26.2,73.8,5.8,20.7,54.2,18.9,0.4,2.87,37.4,62.6,8.4,18.9,53.8,18.9,0.1,2.83,50.4,49.6,10.1,24.6,52.8,11.3,1.2,2.69
"가구주최종학력",중졸 이하,29.7,70.3,7.2,16.5,64.1,12.1,0.0,2.81,40.1,59.9,4.1,11.3,69.6,14.5,0.5,2.96,61.3,38.7,7.2,26.4,49.7,16.7,0.0,2.76,66.6,33.4,19.7,15.5,50.4,14.4,0.0,2.60
"가구주최종학력",고졸,14.4,85.6,4.6,22.5,50.7,20.4,1.8,2.92,17.6,82.4,6.0,21.1,50.4,21.9,0.6,2.90,27.9,72.1,8.8,16.9,56.1,17.5,0.7,2.84,43.1,56.9,8.9,23.1,57.7,9.4,0.8,2.70
"가구주최종학력",전문대졸 이상,4.5,95.5,3.6,16.4,51.4,26.3,2.4,3.07,10.6,89.4,3.3,17.5,51.3,26.7,1.1,3.05,12.5,87.5,7.2,17.1,53.0,20.8,1.9,2.93,30.9,69.1,7.6,26.1,53.2,11.7,1.5,2.73
"가구주 직업",관리/전문/사무직,4.6,95.4,3.4,16.9,52.3,25.0,2.5,3.06,10.1,89.9,3.6,18.2,51.4,25.8,1.0,3.02,14.5,85.5,7.7,17.2,53.0,20.6,1.6,2.91,31.7,68.3,6.0,26.2,54.0,12.1,1.6,2.77
"가구주 직업",서비스/판매직,8.9,91.1,3.9,21.1,50.7,22.0,2.2,2.98,13.5,86.5,4.2,20.4,51.8,22.5,1.0,2.96,18.2,81.8,8.6,15.4,55.1,18.6,2.2,2.90,36.1,63.9,10.5,23.2,55.7,9.7,0.8,2.67
"가구주 직업",기계/농림어업/단순노무,14.5,85.5,4.2,17.7,52.8,23.6,1.8,3.01,16.8,83.2,5.8,16.4,53.6,23.3,1.0,2.97,32.9,67.1,8.0,17.9,53.7,19.6,0.8,2.87,46.5,53.5,7.2,24.1,57.0,10.4,1.3,2.74
"가구주 직업",기타,21.7,78.3,7.7,21.0,51.1,20.0,0.2,2.84,33.2,66.8,4.9,18.7,51.0,25.2,0.2,2.97,26.4,73.6,4.2,22.5,55.8,17.4,0.0,2.86,43.6,56.4,17.3,24.2,48.1,10.4,0.0,2.51
"월평균가구소득",200만원 미만,19.8,80.2,5.1,22.5,55.7,14.4,2.3,2.86,25.5,74.5,7.6,16.3,53.1,22.8,0.2,2.92,47.0,53.0,4.6,21.2,51.9,19.7,2.4,2.94,58.8,41.2,7.8,20.0,56.6,14.3,1.3,2.81
"월평균가구소득",200~400만원 미만,9.3,90.7,4.1,18.1,52.2,22.3,3.3,3.02,14.5,85.5,4.0,21.4,50.5,22.6,1.4,2.96,21.0,79.0,6.3,14.6,54.2,22.4,2.5,3.00,36.7,63.3,8.5,24.6,53.0,12.4,1.5,2.74
"월평균가구소득",400~600만원 미만,7.3,92.7,3.2,19.0,48.9,27.5,1.4,3.05,13.7,86.3,3.8,17.1,53.5,24.5,1.1,3.02,15.9,84.1,8.8,17.7,54.6,17.8,1.1,2.85,32.8,67.2,8.2,24.2,55.9,10.5,1.2,2.72
"월평균가구소득",600만원 이상,5.7,94.3,4.6,15.6,52.2,26.7,0.9,3.04,9.6,90.4,3.2,17.4,51.0,27.9,0.5,3.05,13.7,86.3,9.4,20.2,52.7,17.7,0.0,2.79,34.5,65.5,8.2,28.4,54.4,8.1,0.9,2.65
